PERIOD_MA_1,PERIOD_MA_2
30,300
40,300
50,300
60,300
70,300
80,300
90,300
100,300
110,300
120,300
130,300
140,300
150,300
160,300
170,300
180,300
190,300
30,350
40,350
50,350
60,350
70,350
80,350
90,350
100,350
110,350
120,350
130,350
140,350
150,350
160,350
170,350
180,350
190,350
30,400
40,400
50,400
60,400
70,400
80,400
90,400
100,400
110,400
120,400
130,400
140,400
150,400
160,400
170,400
180,400
190,400
30,450
40,450
50,450
60,450
70,450
80,450
90,450
100,450
110,450
120,450
130,450
140,450
150,450
160,450
170,450
180,450
190,450
30,500
40,500
50,500
60,500
70,500
80,500
90,500
100,500
110,500
120,500
130,500
140,500
150,500
160,500
170,500
180,500
190,500
30,550
40,550
50,550
60,550
70,550
80,550
90,550
100,550
110,550
120,550
130,550
140,550
150,550
160,550
170,550
180,550
190,550
30,600
40,600
50,600
60,600
70,600
80,600
90,600
100,600
110,600
120,600
130,600
140,600
150,600
160,600
170,600
180,600
190,600
30,650
40,650
50,650
60,650
70,650
80,650
90,650
100,650
110,650
120,650
130,650
140,650
150,650
160,650
170,650
180,650
190,650
30,700
40,700
50,700
60,700
70,700
80,700
90,700
100,700
110,700
120,700
130,700
140,700
150,700
160,700
170,700
180,700
190,700
30,750
40,750
50,750
60,750
70,750
80,750
90,750
100,750
110,750
120,750
130,750
140,750
150,750
160,750
170,750
180,750
190,750
30,800
40,800
50,800
60,800
70,800
80,800
90,800
100,800
110,800
120,800
130,800
140,800
150,800
160,800
170,800
180,800
190,800
30,850
40,850
50,850
60,850
70,850
80,850
90,850
100,850
110,850
120,850
130,850
140,850
150,850
160,850
170,850
180,850
190,850
30,900
40,900
50,900
60,900
70,900
80,900
90,900
100,900
110,900
120,900
130,900
140,900
150,900
160,900
170,900
180,900
190,900
30,950
40,950
50,950
60,950
70,950
80,950
90,950
100,950
110,950
120,950
130,950
140,950
150,950
160,950
170,950
180,950
190,950
30,1000
40,1000
50,1000
60,1000
70,1000
80,1000
90,1000
100,1000
110,1000
120,1000
130,1000
140,1000
150,1000
160,1000
170,1000
180,1000
190,1000
30,1050
40,1050
50,1050
60,1050
70,1050
80,1050
90,1050
100,1050
110,1050
120,1050
130,1050
140,1050
150,1050
160,1050
170,1050
180,1050
190,1050
30,1100
40,1100
50,1100
60,1100
70,1100
80,1100
90,1100
100,1100
110,1100
120,1100
130,1100
140,1100
150,1100
160,1100
170,1100
180,1100
190,1100
